Ano;TRIMESTR;MÒS;Ufs ;CAPITAIS;icc;icc_homem;icc_mulher;icc_menor_35anos;icc_maior_35anos;peic_idividamento;icf_acessoaocredito;icf_nivelconsumo_atual;icf_perpectivadeconsumo
2019;;5;;;117,01;126,5;107,5;120,3;111,6;56,5%;99,18;68,57;97,51
2019;;6;;;107,38;112,6;102,1;110,1;102,9;55,7%;97,89;66,58;93,16
2019;;7;;;110,92;115,5;106,4;113,6;106,6;55,7%;92,91;63,91;89,61
2019;;8;;;114,58;120,0;109,1;113,6;111,3;58,0%;93,84;64,43;94,14
2019;;9;;;112,19;120,9;103,5;116,6;105,0;59,9%;97,50;66,43;95,99
2019;;10;;;111,82;116,2;107,4;114,9;106,8;59,8%;95,84;67,09;91,85
2019;;11;;;118,64;126,1;111,2;121,9;113,4;60,5%;97,55;67,77;96,52
2019;;12;;;121,26;125,5;117,0;123,5;117,6;62,4%;100,93;69,29;99,87
2020;;1;;;121,27;129,7;112,8;121,1;121,6;59,9%;104,15;74,80;100,43
2020;;2;;;131,79;136,6;127,0;131,2;132,8;60,0%;109,99;76,78;104,14
2020;;3;;;124,58;130,7;118,4;125,8;122,6;63,8%;112,26;72,91;101,60
2020;;4;;;111,97;117,0;106,9;113,4;109,6;63,7%;107,60;67,78;92,07
2020;;5;;;96,82;98,8;94,9;100,3;91,1;-;101,42;53,15;64,47
