epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
27,2020-06-28,104,AC,,12,state,13058,1480.60798,145,353,2,0.027,881935,True,False
27,2020-06-28,113,AL,,27,state,34312,1028.11896,791,1012,19,0.0295,3337357,True,False
27,2020-06-28,108,AM,,13,state,69649,1680.47702,627,2782,10,0.0399,4144597,True,False
27,2020-06-28,101,AP,,16,state,27985,3308.97177,84,407,1,0.0145,845731,True,False
27,2020-06-28,115,BA,,29,state,68495,460.53053,3251,1748,51,0.0255,14873064,True,False
27,2020-06-28,105,CE,,23,state,107593,1178.18748,529,5995,8,0.0557,9132078,True,False
27,2020-06-28,114,DF,,53,state,44905,1489.25402,2139,548,11,0.0122,3015268,True,False
27,2020-06-28,116,ES,,32,state,43683,1087.00683,2031,1566,59,0.0358,4018650,True,False
27,2020-06-28,109,GO,,52,state,22165,315.81479,300,436,2,0.0197,7018354,True,False
27,2020-06-28,101,MA,,21,state,78512,1109.68186,397,1982,39,0.0252,7075181,True,False
27,2020-06-28,113,MG,,31,state,42741,201.90572,1775,899,17,0.021,21168791,True,False
27,2020-06-28,107,MS,,50,state,7527,270.85419,0,72,0,0.0096,2778986,False,True
27,2020-06-28,101,MT,,51,state,14654,420.55225,526,556,23,0.0379,3484466,True,False
27,2020-06-28,103,PA,,15,state,101207,1176.43366,764,4870,25,0.0481,8602865,True,False
27,2020-06-28,109,PB,,25,state,44679,1111.93598,437,911,15,0.0204,4018127,True,False
27,2020-06-28,109,PE,,26,state,58107,608.00009,1018,4751,43,0.0818,9557071,True,False
27,2020-06-28,102,PI,,22,state,19753,603.47174,595,643,28,0.0326,3273227,True,False
27,2020-06-28,109,PR,,41,state,20742,181.40701,923,599,24,0.0289,11433957,True,False
27,2020-06-28,116,RJ,,33,state,111298,644.64736,2495,9819,30,0.0882,17264943,True,False
27,2020-06-28,109,RN,,24,state,24301,692.95747,0,937,0,0.0386,3506853,False,True
27,2020-06-28,101,RO,,11,state,19820,1115.22176,549,486,10,0.0245,1777225,True,False
27,2020-06-28,100,RR,,14,state,14341,2367.43534,0,281,0,0.0196,605761,False,True
27,2020-06-28,111,RS,,43,state,25243,221.87281,243,559,5,0.0221,11377239,True,False
27,2020-06-28,109,SC,,42,state,24364,340.05193,556,312,8,0.0128,7164788,True,False
27,2020-06-28,107,SE,,28,state,24421,1062.38493,1102,620,15,0.0254,2298696,True,False
27,2020-06-28,125,SP,,35,state,271737,591.77402,6156,14338,75,0.0528,45919049,True,False
27,2020-06-28,103,TO,,17,state,10228,650.2779,0,192,0,0.0188,1572866,False,True
26,2020-06-27,103,AC,,12,state,12913,1464.16686,269,351,8,0.0272,881935,False,False
26,2020-06-27,112,AL,,27,state,33521,1004.41757,657,993,18,0.0296,3337357,False,False
26,2020-06-27,107,AM,,13,state,69022,1665.34889,802,2772,33,0.0402,4144597,False,False
26,2020-06-27,100,AP,,16,state,27901,3299.03953,239,406,5,0.0146,845731,False,False
26,2020-06-27,114,BA,,29,state,65244,438.67222,8822,1697,55,0.026,14873064,False,False
26,2020-06-27,104,CE,,23,state,107064,1172.39472,1794,5987,25,0.0559,9132078,False,False
26,2020-06-27,113,DF,,53,state,42766,1418.31506,1440,537,5,0.0126,3015268,False,False
26,2020-06-27,115,ES,,32,state,41652,1036.46747,0,1507,0,0.0362,4018650,False,True
26,2020-06-27,108,GO,,52,state,21865,311.54028,424,434,9,0.0198,7018354,False,False
26,2020-06-27,100,MA,,21,state,78115,1104.07069,1417,1943,37,0.0249,7075181,False,False
26,2020-06-27,112,MG,,31,state,40966,193.52074,2075,882,49,0.0215,21168791,False,False
26,2020-06-27,106,MS,,50,state,7527,270.85419,220,72,4,0.0096,2778986,True,False
26,2020-06-27,100,MT,,51,state,14128,405.45668,722,533,29,0.0377,3484466,False,False
26,2020-06-27,102,PA,,15,state,100443,1167.5529,1130,4845,11,0.0482,8602865,False,False
26,2020-06-27,108,PB,,25,state,44242,1101.06027,1410,896,32,0.0203,4018127,False,False
26,2020-06-27,108,PE,,26,state,57089,597.34829,1285,4708,98,0.0825,9557071,False,False
26,2020-06-27,101,PI,,22,state,19158,585.29396,493,615,23,0.0321,3273227,False,False
26,2020-06-27,108,PR,,41,state,19819,173.33457,1147,575,11,0.029,11433957,False,False
26,2020-06-27,115,RJ,,33,state,108803,630.19611,306,9789,202,0.09,17264943,False,False
26,2020-06-27,108,RN,,24,state,24301,692.95747,48,937,28,0.0386,3506853,True,False
26,2020-06-27,100,RO,,11,state,19271,1084.33091,0,476,0,0.0247,1777225,False,True
26,2020-06-27,99,RR,,14,state,14341,2367.43534,1263,281,0,0.0196,605761,True,False
26,2020-06-27,110,RS,,43,state,25000,219.73697,886,554,14,0.0222,11377239,False,False
26,2020-06-27,108,SC,,42,state,23808,332.29176,861,304,6,0.0128,7164788,False,False
26,2020-06-27,106,SE,,28,state,23319,1014.44471,1411,605,26,0.0259,2298696,False,False
26,2020-06-27,124,SP,,35,state,265581,578.36781,7073,14263,297,0.0537,45919049,False,False
26,2020-06-27,102,TO,,17,state,10228,650.2779,262,192,1,0.0188,1572866,True,False
26,2020-06-26,102,AC,,12,state,12644,1433.66575,340,343,8,0.0271,881935,False,False
26,2020-06-26,111,AL,,27,state,32864,984.73133,799,975,17,0.0297,3337357,False,False
26,2020-06-26,106,AM,,13,state,68220,1645.99839,953,2739,8,0.0401,4144597,False,False
26,2020-06-26,99,AP,,16,state,27662,3270.77995,247,401,7,0.0145,845731,False,False
26,2020-06-26,113,BA,,29,state,56422,379.35694,2131,1642,41,0.0291,14873064,False,False
26,2020-06-26,103,CE,,23,state,105270,1152.74968,2152,5962,67,0.0566,9132078,False,False
26,2020-06-26,112,DF,,53,state,41326,1370.55811,2455,532,23,0.0129,3015268,False,False
26,2020-06-26,114,ES,,32,state,41652,1036.46747,1246,1507,17,0.0362,4018650,False,False
26,2020-06-26,107,GO,,52,state,21441,305.49898,1064,425,41,0.0198,7018354,False,False
26,2020-06-26,99,MA,,21,state,76698,1084.04294,1773,1906,35,0.0249,7075181,False,False
26,2020-06-26,111,MG,,31,state,38891,183.71857,6122,833,27,0.0214,21168791,False,False
26,2020-06-26,105,MS,,50,state,7307,262.93763,394,68,3,0.0093,2778986,False,False
26,2020-06-26,99,MT,,51,state,13406,384.73614,805,504,28,0.0376,3484466,False,False
26,2020-06-26,101,PA,,15,state,99313,1154.41774,2841,4834,31,0.0487,8602865,False,False
26,2020-06-26,107,PB,,25,state,42832,1065.96929,2008,864,22,0.0202,4018127,False,False
26,2020-06-26,107,PE,,26,state,55804,583.90275,668,4610,122,0.0826,9557071,False,False
26,2020-06-26,100,PI,,22,state,18665,570.23237,642,592,18,0.0317,3273227,False,False
26,2020-06-26,107,PR,,41,state,18672,163.30305,850,564,25,0.0302,11433957,False,False
26,2020-06-26,114,RJ,,33,state,108497,628.42374,2600,9587,137,0.0884,17264943,False,False
26,2020-06-26,107,RN,,24,state,24253,691.58873,447,909,13,0.0375,3506853,False,False
26,2020-06-26,99,RO,,11,state,19271,1084.33091,1847,476,21,0.0247,1777225,False,False
26,2020-06-26,98,RR,,14,state,13078,2158.93727,167,281,8,0.0215,605761,False,False
26,2020-06-26,109,RS,,43,state,24114,211.94949,1054,540,40,0.0224,11377239,False,False
26,2020-06-26,107,SC,,42,state,22947,320.27465,996,298,9,0.013,7164788,False,False
26,2020-06-26,105,SE,,28,state,21908,953.06208,827,579,25,0.0264,2298696,False,False
26,2020-06-26,123,SP,,35,state,258508,562.96462,9921,13966,207,0.054,45919049,False,False
26,2020-06-26,101,TO,,17,state,9966,633.62041,285,191,5,0.0192,1572866,False,False
26,2020-06-25,101,AC,,12,state,12304,1395.11415,282,335,9,0.0272,881935,False,False
26,2020-06-25,110,AL,,27,state,32065,960.79023,835,958,20,0.0299,3337357,False,False
26,2020-06-25,105,AM,,13,state,67267,1623.0046,503,2731,21,0.0406,4144597,False,False
26,2020-06-25,98,AP,,16,state,27415,3241.57445,496,394,7,0.0144,845731,False,False
26,2020-06-25,112,BA,,29,state,54291,365.02902,2360,1601,60,0.0295,14873064,False,False
26,2020-06-25,102,CE,,23,state,103118,1129.1844,3540,5895,80,0.0572,9132078,False,False
26,2020-06-25,111,DF,,53,state,38871,1289.13914,1617,509,14,0.0131,3015268,False,False
26,2020-06-25,113,ES,,32,state,40406,1005.46203,1923,1490,27,0.0369,4018650,False,False
26,2020-06-25,106,GO,,52,state,20377,290.33873,1097,384,9,0.0188,7018354,False,False
26,2020-06-25,98,MA,,21,state,74925,1058.98351,1611,1871,35,0.025,7075181,False,False
26,2020-06-25,110,MG,,31,state,32769,154.79864,1426,806,35,0.0246,21168791,False,False
26,2020-06-25,104,MS,,50,state,6913,248.7598,390,65,4,0.0094,2778986,False,False
26,2020-06-25,98,MT,,51,state,12601,361.6336,1030,476,31,0.0378,3484466,False,False
26,2020-06-25,100,PA,,15,state,96472,1121.39386,2436,4803,55,0.0498,8602865,False,False
26,2020-06-25,106,PB,,25,state,40824,1015.99576,912,842,14,0.0206,4018127,False,False
