Ano;TRIMESTRE;MÊS;UF;CAPITAIS;total_escolaridade(Mil Pessoas);Sem instrução e menos de 1 ano de estudo(Mil Pessoas);Ensino fundamental incompleto ou equivalente(Mil Pessoas);Ensino fundamental completo ou equivalente(Mil Pessoas);Ensino médio incompleto ou equivalente(Mil Pessoas);Ensino médio completo ou equivalente(Mil Pessoas);Ensino superior incompleto ou equivalente(Mil Pessoas);Ensino superior completo ou equivalente(Mil Pessoas);Não determinado(Mil Pessoas);homem(Mil Pessoas);mulher(Mil Pessoas);14 a 17 anos(Mil Pessoas);18 a 24 anos(Mil Pessoas);25 a 39 anos(Mil Pessoas);40 a 59 anos(Mil Pessoas);60 anos ou mais(Mil Pessoas)
2019;1;-;11;Rondônia;420;17;100;31;43;134;34;61;-;166;362;7;28;27;14;2
2019;1;-;12;Acre;320;19;73;31;24;93;24;56;-;114;183;3;24;25;11;0
2019;1;-;13;Amazonas;1727;45;346;119;130;650;139;298;-;413;748;18;100;116;56;3
2019;1;-;14;Roraima;286;11;52;22;25;97;27;52;-;50;89;3;14;15;6;1
2019;1;-;15;Pará;1225;39;277;100;120;389;70;230;-;942;1776;22;143;177;90;9
2019;1;-;16;Amapá;374;17;87;28;34;115;34;58;-;79;159;5;30;30;12;0
2019;1;-;17;Tocantins;227;7;42;16;21;65;25;51;-;184;313;6;28;31;21;2
2019;1;-;21;Maranhão;896;29;136;84;72;375;63;137;-;1121;1679;21;141;174;78;5
2019;1;-;22;Piauí;696;25;185;55;61;209;57;104;-;424;736;9;54;75;44;3
2019;1;-;23;Ceará;2215;97;486;199;173;701;158;401;-;1186;2071;26;174;180;80;7
2019;1;-;24;Rio Grande do Norte;737;25;197;48;51;202;59;156;-;483;828;11;64;83;49;1
2019;1;-;25;Paraíba;657;19;149;47;51;185;52;154;-;540;985;12;64;69;37;3
2019;1;-;26;Pernambuco;1353;41;311;87;102;428;82;302;-;1172;2249;35;224;264;146;8
2019;1;-;27;Alagoas;841;51;242;81;60;234;42;131;-;549;906;10;63;75;39;2
2019;1;-;28;Sergipe;532;18;123;44;32;161;45;109;-;266;505;8;50;70;32;2
2019;1;-;29;Bahia;2439;54;504;154;158;846;210;514;-;1850;3153;104;388;463;295;32
2019;1;-;31;Minas Gerais;2104;34;441;209;152;578;164;526;-;2285;4115;129;375;393;295;43
2019;1;-;32;Espírito Santo;311;6;44;20;24;80;30;105;-;368;729;25;81;93;53;8
2019;1;-;33;Rio de Janeiro;5731;106;914;492;375;1842;448;1555;-;1919;3793;39;419;486;369;45
2019;1;-;35;São Paulo;10210;167;1962;839;714;3107;689;2733;-;4289;8235;362;1073;1082;810;120
2019;1;-;41;Paraná;1617;31;263;149;102;474;110;487;-;1142;2164;63;192;160;109;12
2019;1;-;42;Santa Catarina;435;8;59;37;23;116;45;148;-;752;1301;37;85;92;59;5
2019;1;-;24;Rio Grande do Sul;1265;11;219;107;76;338;136;378;-;1256;2226;55;161;146;107;17
2019;1;-;50;Mato Grosso do Sul;718;21;173;65;68;177;55;159;-;253;470;15;40;37;40;4
2019;1;-;51;Mato Grosso;494;19;106;37;37;133;42;121;-;293;615;21;48;57;35;5
2019;1;-;52;Goiás;1280;32;253;95;109;388;115;288;-;676;1266;52;114;136;88;8
2019;1;-;53;Distrito Federal;2481;67;448;204;185;701;184;692;-;299;524;19;82;83;42;7
2019;2;-;11;Rondônia;426;15;105;32;44;135;28;65;-;168;372;3;26;16;12;1
2019;2;-;12;Acre;318;21;75;33;26;86;22;55;-;114;181;3;17;20;8;1
2019;2;-;13;Amazonas;1711;33;331;134;138;625;154;295;-;386;707;13;96;94;53;6
2019;2;-;14;Roraima;286;10;50;20;28;100;25;53;-;55;93;2;12;16;6;1
