Per¡odo;1- Qtd de fam¡lias em situa‡Æo de extrema pobreza;2- Qtd de fam¡lias em situa‡Æo de pobreza;3- Qtd de fam¡lias em situa‡Æo de baixa renda;4- Qtd de fam¡lias com renda per capita acima de 1/2 S.M.
abr/20;13.595.301;2.771.605;5.951.619;
mar/20;13.545.202;2.762.078;5.924.710;
fev/20;13.459.111;2.746.503;5.810.045;
jan/20;13.574.601;2.860.560;6.248.329;
dez/19;13.520.588;2.853.527;5.977.354;
nov/19;13.420.184;2.842.935;5.903.048;
out/19;13.310.467;2.831.199;5.829.902;
set/19;13.186.808;2.805.743;5.718.434;
ago/19;13.424.806;3.005.580;6.235.149;
jul/19;13.352.349;2.991.368;6.129.324;
jun/19;13.283.061;2.977.497;6.057.134;
mai/19;13.149.589;2.961.300;5.983.901;
abr/19;13.022.471;2.946.923;5.909.370;
mar/19;13.144.553;3.047.937;5.992.418;5.743.787
fev/19;13.068.178;3.033.132;5.906.886;5.648.060
jan/19;12.948.788;3.020.935;5.823.776;5.519.710
dez/18;12.750.668;3.006.575;5.731.317;5.425.171
nov/18;13.023.527;3.208.674;6.011.203;5.511.633
out/18;12.966.142;3.193.011;5.899.767;5.350.317
set/18;12.932.064;3.193.885;5.629.413;5.169.825
ago/18;12.852.623;3.164.743;5.506.816;5.027.551
jul/18;13.003.758;3.347.801;6.240.688;5.423.784
jun/18;12.857.736;3.274.295;6.315.338;5.328.085
mai/18;12.768.611;3.260.595;6.229.851;5.206.397
abr/18;12.571.495;3.248.912;6.152.149;5.064.827
mar/18;12.428.217;3.234.071;6.084.631;4.951.369
fev/18;12.687.757;3.466.055;6.347.770;5.065.224
jan/18;12.597.923;3.461.274;6.285.249;4.950.465
dez/17;12.547.592;3.460.232;6.130.973;4.808.101
nov/17;12.442.493;3.462.701;6.041.432;4.512.007
out/17;12.313.510;3.457.901;5.975.755;4.306.875
set/17;12.151.665;3.440.421;5.893.890;4.112.044
ago/17;12.810.813;3.908.441;6.875.924;4.632.657
jul/17;12.756.097;3.888.891;6.806.031;4.524.999
jun/17;12.698.284;3.873.521;6.730.499;4.417.136
mai/17;12.705.890;3.862.999;6.604.154;4.336.580
abr/17;12.626.221;3.856.522;6.529.306;4.258.378
mar/17;12.493.036;3.848.352;6.471.397;4.167.149
fev/17;12.389.174;3.841.058;6.436.810;4.104.950
jan/17;12.296.621;3.841.934;6.403.001;4.048.310
dez/16;11.720.302;3.849.178;5.841.332;5.045.251
nov/16;12.251.048;4.097.975;6.339.320;5.357.218
out/16;12.289.970;4.076.375;6.305.324;5.253.624
set/16;12.313.630;4.061.011;6.253.516;5.116.921
ago/16;12.288.703;4.049.454;6.930.073;4.308.797
jul/16;12.750.064;4.148.778;6.275.849;4.217.645
jun/16;12.707.404;4.152.311;6.179.281;4.121.012
mai/16;12.236.939;4.036.194;6.660.654;
abr/16;12.133.508;4.036.963;6.619.641;
mar/16;12.003.677;4.045.843;6.570.443;
fev/16;11.898.567;4.053.232;6.529.982;
jan/16;11.827.568;4.057.645;6.505.138;
dez/15;12.335.278;4.268.713;6.357.302;
nov/15;12.316.479;4.260.693;6.296.949;
out/15;12.318.684;4.246.444;6.233.694;
set/15;12.362.376;4.219.431;6.144.320;
ago/15;12.423.826;4.193.171;6.035.542;
jul/15;12.509.474;4.169.677;5.880.502;
jun/15;13.036.672;4.437.139;6.030.625;
mai/15;13.148.416;4.434.418;5.872.961;
abr/15;13.145.749;4.436.369;5.780.530;
mar/15;13.149.251;4.423.204;5.710.123;
fev/15;13.155.194;4.406.186;5.621.036;
jan/15;13.146.938;4.395.578;5.547.473;
dez/14;14.095.333;5.325.302;5.781.661;
nov/14;14.097.843;5.317.056;5.716.879;
out/14;14.080.860;5.311.130;5.666.267;
set/14;14.079.417;5.312.102;5.617.214;
ago/14;14.111.822;5.324.903;5.569.817;
jul/14;14.073.816;5.316.326;5.490.489;
jun/14;14.049.523;5.313.985;5.430.842;
mai/14;14.036.647;5.311.688;5.347.097;
abr/14;13.358.999;5.381.709;5.899.984;
mar/14;13.362.035;5.391.327;5.801.108;
fev/14;13.365.297;5.394.947;5.677.231;
jan/14;13.359.543;5.395.751;5.584.932;
dez/13;13.354.834;5.397.222;5.332.612;
nov/13;13.395.977;5.398.817;5.224.680;
out/13;13.389.641;5.396.698;5.138.013;
set/13;13.379.368;5.389.174;5.057.628;
ago/13;13.360.189;5.383.191;4.966.278;
jul/13;13.348.124;5.366.977;4.861.460;
jun/13;13.312.303;5.353.799;4.766.351;
mai/13;13.282.331;5.336.162;4.690.447;
abr/13;13.265.523;5.325.286;4.647.547;
mar/13;13.212.397;5.302.410;4.521.050;
fev/13;13.205.720;5.322.337;4.479.734;
jan/13;13.175.545;5.315.757;4.426.995;
dez/12;13.161.099;5.311.337;4.239.153;
nov/12;13.131.359;5.298.295;4.146.545;
out/12;13.076.366;5.288.902;4.083.777;
